       21	2019-12-25 19:44:56	1	0	1	0
       13	2019-12-25 19:45:39	1	1	1	0
       13	2019-12-25 19:45:46	1	0	1	0
       20	2019-12-25 19:46:24	1	0	1	0
       20	2019-12-25 19:46:26	1	0	1	0
       18	2019-12-25 19:50:55	1	1	1	0
       18	2019-12-25 19:51:02	1	0	1	0
       16	2019-12-25 20:06:46	1	0	1	0
       25	2019-12-25 20:07:23	1	0	1	0
       26	2019-12-25 20:09:45	1	0	1	0
       21	2019-12-25 21:06:54	1	1	1	0
       16	2019-12-25 21:06:59	1	1	1	0
       26	2019-12-25 21:45:32	1	1	1	0
       13	2019-12-26 08:42:56	1	0	1	0
       31	2019-12-26 08:53:09	1	0	1	0
        4	2019-12-26 08:54:54	1	0	1	0
       14	2019-12-26 08:58:02	1	0	1	0
       12	2019-12-26 09:01:53	1	0	1	0
        4	2019-12-26 09:04:48	1	0	1	0
       28	2019-12-26 09:04:56	1	0	1	0
       15	2019-12-26 09:06:35	1	0	1	0
        8	2019-12-26 09:15:55	1	0	1	0
        9	2019-12-26 09:23:34	1	0	1	0
